Unnamed: 0,Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
227,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'9172,0.01,0.63,"1,680",349,1.59,1.61,736,1.58,1.59,1.6,1.59,s,21-Oct-19,05:00PM,1.59,FORMOSA PROSONIC INDUSTRIES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9172
228,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5277,-,-,"73,603",257,0.475,0.48,"5,698",0.475,0.48,0.485,0.47,s,21-Oct-19,05:00PM,0.475,FOUNDPAC GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5277
229,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'3689,-0.84,-2.39,"2,005","5,043",34.36,34.48,5,35.2,34.2,34.9,34.18,s,21-Oct-19,05:00PM,34.36,FRASER & NEAVE HOLDINGS BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3689
230,MAIN MARKET,TRANSPORTATION & LOGISTICS,'7210,-,-,317,369,0.61,0.62,980,0.61,0.62,0.62,0.61,s,21-Oct-19,05:00PM,0.61,FREIGHT MANAGEMENT HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7210
231,MAIN MARKET,TECHNOLOGY,'0128,-0.02,-1.05,"49,175",158,1.88,1.89,438,1.9,1.9,1.95,1.87,s,21-Oct-19,05:00PM,1.88,FRONTKEN CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0128
232,MAIN MARKET,TECHNOLOGY,'9377,-,-,-,-,-,-,-,0.095,-,-,-,Ss,21-Oct-19,05:00PM,-,FSBM HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9377
233,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7184,0.01,0.28,"7,456",165,3.56,3.57,22,3.56,3.55,3.62,3.55,s,21-Oct-19,05:00PM,3.57,G3 GLOBAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7184
234,MAIN MARKET,CONSTRUCTION,'5226,-,-,"2,922",3,1.29,1.3,588,1.3,1.3,1.3,1.27,s,21-Oct-19,05:00PM,1.3,GABUNGAN AQRS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5226
235,MAIN MARKET,CONSTRUCTION,'9261,-0.01,-1.5,"19,014","3,150",0.655,0.66,480,0.665,0.665,0.675,0.655,s,21-Oct-19,05:00PM,0.655,GADANG HOLDINGS BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9261
236,MAIN MARKET,CONSTRUCTION,'5398,-0.01,-0.27,"22,607",333,3.74,3.76,"4,005",3.77,3.77,3.78,3.75,s,21-Oct-19,05:00PM,3.76,GAMUDA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5398
237,MAIN MARKET,UTILITIES,'5209,-0.01,-0.36,"7,603",461,2.79,2.8,457,2.81,2.8,2.81,2.79,s,21-Oct-19,05:00PM,2.8,GAS MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5209
238,MAIN MARKET,TRANSPORTATION & LOGISTICS,'0078,0.005,1.75,"52,155","2,936",0.29,0.295,"6,232",0.285,0.285,0.3,0.285,s,21-Oct-19,05:00PM,0.29,GD EXPRESS CARRIER BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0078
239,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7197,-,-,-,100,0.465,0.56,60,0.5,-,-,-,s,21-Oct-19,05:00PM,-,GE-SHEN CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7197
240,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'3182,-0.06,-1.05,"41,771",237,5.63,5.64,1,5.7,5.7,5.7,5.61,s,21-Oct-19,05:00PM,5.64,GENTING BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3182
241,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'4715,0.01,0.33,"44,272","1,912",3.05,3.06,"11,104",3.05,3.06,3.08,3.04,s,21-Oct-19,05:00PM,3.06,GENTING MALAYSIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4715
242,MAIN MARKET,PLANTATION,'2291,0.04,0.41,"2,821",100,9.83,9.84,85,9.8,9.8,9.85,9.7,s,21-Oct-19,05:00PM,9.84,GENTING PLANTATIONS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2291
243,MAIN MARKET,CONSTRUCTION,'3204,0.01,0.98,"21,454",15,1.02,1.03,"1,082",1.02,1.03,1.04,1.01,s,21-Oct-19,05:00PM,1.03,GEORGE KENT (MALAYSIA) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3204
244,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5079,0.01,5.41,"98,060",814,0.195,0.2,"7,880",0.185,0.185,0.205,0.18,s,21-Oct-19,05:00PM,0.195,GETS GLOBAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5079
245,MAIN MARKET,TECHNOLOGY,'0021,0.02,1.44,"11,840",337,1.41,1.42,130,1.39,1.38,1.41,1.38,s,21-Oct-19,05:00PM,1.41,GHL SYSTEMS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0021
246,MAIN MARKET,PROPERTY,'1147,-,-,-,800,0.19,0.2,"1,945",0.19,-,-,-,s,21-Oct-19,05:00PM,-,GLOBAL ORIENTAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1147
