name,full_name,symbol
Pasdec,Pasdec Holdings Bhd,PDEC
Pelikan Int,Pelikan International Corp,PELK
Paragon Union,Paragon Union Bhd,PGON
Poh Huat Resources,Poh Huat Resources Holdings,PHUA
Pintaras Jaya,Pintaras Jaya Bhd,PINT
Pinehill Pacific,Pinehill Pacific Bhd,PIPB
PLB Engineering,PLB Engineering Bhd,PLBE
Plenitude,Plenitude Bhd,PLET
PLS Plantations,PLS Plantations Bhd,PLSB
Pentamaster Corp,Pentamaster Corporation Bhd,PMAS
Pan Malaysia Corp,Pan Malaysia Corporation Bhd,PMCS
Panasonic Manufacture,Panasonic Manufacture Malaysia,PMMY
Poh Kong,Poh Kong Holdings Bhd,POHK
Power Root,Power Root Bhd,POWE
Enra Group,Enra Group Bhd,ENRA
Paramount Corp,Paramount Corporation Bhd,PRMS
Protasco,Protasco Bhd,PRTO
Prinsiptek Corp,Prinsiptek Corporation Bhd,PSIP
Petron Refining,Petron Malaysia Refining Marketing,PTMR
PW Consolidated,PW Consolidated Bhd,PWFC
Prolexus,Prolexus Bhd,PXUS
RCE Capital Berhad,RCE Capital Berhad,REDI
Rex Industry,Rex Industry Bhd,REXI
Riverview Rubber Estates,Riverview Rubber Estates Bhd,RVWL
Sam Engineering Equip,Sam Engineering Equipment,SAEG
Saudee,Saudee Group Bhd,SAUD
Sungei Bagan Rubber,Sungei Bagan Rubber Malaya,SBRK
Selangor Dredging,Selangor Dredging Bhd,SDGS
Selangor Properties,Selangor Properties Bhd,SELS
7 Eleven,7 Eleven Malaysia Holdings Bhd,SEVE
Signature Int,Signature International Bhd,SGNA
Sin Heng Chan,Sin Heng Chan (Malaya) Bhd,SHCS
SHH Resources,SHH Resources Holdings Bhd,SHHR
SHL Consolidated,SHL Consolidated Bhd,SHLC
SBC Corp,SBC Corp Bhd,SIAH
Sinotop,Sinotop Holdings Bhd,SINH
Sern Kou Resources,Sern Kou Resources Bhd,SKOU
South Malaysia Ind,South Malaysia Industries Bhd,SMIS
Smtrack,Smtrack Bhd,SMTR
Sentoria,Sentoria Group Bhd,SNTO
Sarawak Oil Palms,Sarawak Oil Palms Bhd,SOPS
Sarawak Plantation,Sarawak Plantation Bhd,SPLN
Spritzer,Spritzer Bhd,SPTZ
Sapura Resources,Sapura Resources Bhd,SRCS
SWS Capital,SWS Capital Bhd,SWSB
Sycal Ventures,Sycal Ventures Bhd,SYCA
SYF Resources,SYF Resources Bhd,SYFR
Symphony Life,Symphony Life Bhd,SYML
TA Enterprise,TA Enterprise Bhd,TAES
TAFI Industries,TAFI Industries Bhd,TAFI
AYER,AYER Holdings Bhd,AYER
Syarikat Takaful,Syarikat Takaful Malaysia Bhd,TAKA
Talam Transform,Talam Transform Bhd,TALA
Tambun Indah Land,Tambun Indah Land Bhd,TAMB
Tanco,Tanco Holdings Bhd,TANC
Teo Guan Lee Corp,Teo Guan Lee Corporation Bhd,TGLB
Theta Edge,Theta Edge Bhd,THET
OCR,OCR Group Bhd,OCRG
Tomei Consolidated,Tomei Consolidated Bhd,TMEI
Tan Chong Motor,Tan Chong Motor Holdings Bhd,TNCS
TPC Plus,TPC Plus Bhd,TPCP
Pimpinan Eshan,Pimpinan Eshan Bhd,PIMP
TRC Synergy,TRC Synergy Bhd,TRCG
Teo Seng Capital,Teo Seng Capital Bhd,TSCP
Tek Seng,Tek Seng Holdings Bhd,TSHB
TSR Capital,TSR Capital Bhd,TSRP
Faber,Faber Group Bhd,UEME
Velesto Energy,Velesto Energy Bhd,VELE
United Malacca,United Malacca Bhd,UMRS
Unisem M,Unisem M Bhd,UNSM
UPA Corp,UPA Corporation Bhd,UPAB
United Plantations,United Plantations Bhd,UTPS
ViTrox Corp,ViTrox Corporation Bhd,VTRX
Willowglen MSC,Willowglen MSC Bhd,WLOW
Westports,Westports Holdings Bhd,WPHB
WTK,WTK Holdings Bhd,WTKH
Xian Leng,Xian Leng Holdings Bhd,XIAN
XiDeLang,XiDeLang Holdings Ltd,XIDE
Xingquan Int Sports,Xingquan International Sports,XING
Y&G Corp,Y&G Corp Bhd,YGCB
Yoong Onn Corp,Yoong Onn Corporation Bhd,YGON
Yinson,Yinson Holdings Bhd,YINS
