Date,Code,Name,Price,Volume,Category,Board,52week,EPS,DPS,NTA,PE,DY,ROE,PTBV,MCap.(M),URL
22/8/2019,'0203,SECUREMETRIC BERHAD,0.48,350,"Technology, Ace Market",Ace Market,0.395-0.590,1.16,0,0.16,41.29,0,7.37,3.04,116.93,https://www.klsescreener.com/v2/stocks/view/0203/securemetric-berhad
22/8/2019,'0111,K-ONE TECHNOLOGY BERHAD,0.205,14663,"Technology, Ace Market",Ace Market,0.133-0.280,1.04,0,0.16,19.69,0,6.71,1.32,149.43,https://www.klsescreener.com/v2/stocks/view/0111/k-one-technology-berhad
22/8/2019,'0011,BRITE-TECH BERHAD,0.215,2210,"Trad/Serv, Ace Market",Ace Market,0.205-0.365,1.59,1.6,0.24,13.56,7.44,6.61,0.9,54.18,https://www.klsescreener.com/v2/stocks/view/0011/brite-tech-berhad
22/8/2019,'0089,TEX CYCLE TECHNOLOGY (M) BERHAD,0.405,1506,"Industrial Products & Services, Ace Market",Ace Market,0.390-0.680,2.57,0.6,0.41,15.75,1.48,6.28,0.99,103.76,https://www.klsescreener.com/v2/stocks/view/0089/tex-cycle-technology-m-berhad
22/8/2019,'0160,HIAP HUAT HOLDINGS BERHAD,0.13,46521,"Industrial Products & Services, Ace Market",Ace Market,0.080-0.150,1.05,0,0.18,12.39,0,5.83,0.72,43.33,https://www.klsescreener.com/v2/stocks/view/0160/hiap-huat-holdings-berhad
22/8/2019,'0202,RADIANT GLOBALTECH BERHAD,0.265,75591,"Technology, Ace Market",Ace Market,0.205-0.355,0.65,0,0.11,41.02,0,5.73,2.35,139.18,https://www.klsescreener.com/v2/stocks/view/0202/radiant-globaltech-berhad
22/8/2019,'0205,DPI HOLDINGS BERHAD,0.17,3776,"Consumer Products & Services, Ace Market",Ace Market,0.150-0.270,1.04,0,0.15,16.3,0,5.21,1.13,82.74,https://www.klsescreener.com/v2/stocks/view/0205/dpi-holdings-berhad
22/8/2019,'0207,MESTRON HOLDINGS BERHAD,0.125,22063,"Industrial Products & Services, Ace Market",Ace Market,0.105-0.155,1.25,0,0.06,9.99,0,5.21,2.08,98.75,https://www.klsescreener.com/v2/stocks/view/0207/mestron-holdings-berhad
22/8/2019,'0181,AEMULUS HOLDINGS BERHAD,0.31,121142,"Technology, Ace Market",Ace Market,0.180-0.395,0.73,0.18,0.14,42.61,0.59,5.2,2.21,170.24,https://www.klsescreener.com/v2/stocks/view/0181/aemulus-holdings-berhad
22/8/2019,'0129,SILVER RIDGE HOLDINGS BHD,0.235,3243,"Telecommunications & Media, Ace Market",Ace Market,0.195-0.320,0.41,0,0.08,57.46,0,5.11,2.94,32.98,https://www.klsescreener.com/v2/stocks/view/0129/silver-ridge-holdings-bhd
22/8/2019,'0108,N2N CONNECT BERHAD,0.73,668,"Technology, Ace Market",Ace Market,0.710-1.290,2.27,0.9,0.42,32.17,1.23,5.04,1.62,436.45,https://www.klsescreener.com/v2/stocks/view/0108/n2n-connect-berhad
22/8/2019,'0206,GAGASAN NADI CERGAS BERHAD,0.245,3736,"Construction, Ace Market",Ace Market,0.235-0.305,3.79,0,0.57,6.46,0,4.99,0.43,184.49,https://www.klsescreener.com/v2/stocks/view/0206/gagasan-nadi-cergas-berhad
22/8/2019,'0126,MICROLINK SOLUTIONS BERHAD,0.55,250,"Technology, Ace Market",Ace Market,0.350-0.690,0.55,0,0.12,99.41,0,4.74,4.72,92.05,https://www.klsescreener.com/v2/stocks/view/0126/microlink-solutions-berhad
22/8/2019,'0112,MIKRO MSC BERHAD,0.2,200,"Technology, Ace Market",Ace Market,0.195-0.340,0.65,0.8,0.14,30.55,4,4.69,1.43,117.85,https://www.klsescreener.com/v2/stocks/view/0112/mikro-msc-berhad
22/8/2019,'0025,YBS INTERNATIONAL BERHAD,0.125,30,"Industrial Products & Services, Ace Market",Ace Market,0.115-0.180,1.12,0,0.24,11.14,0,4.68,0.52,30.25,https://www.klsescreener.com/v2/stocks/view/0025/ybs-international-berhad
