Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,FINANCIAL SERVICES,'1066,-0.060,-1.05,"22,860","6,678",5.660,5.670,86,5.72,5.740,5.740,5.650,s,29 Nov 2019,05:00PM,5.660,RHB BANK BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1066
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5278,-,-,"1,696",100,0.665,0.690,290,0.69,0.660,0.690,0.660,s,29 Nov 2019,05:00PM,0.690,RHONE MA HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5278
MAIN MARKET,PLANTATION,'5113,-,-,"110,383","3,572",0.210,0.215,"6,464",0.21,0.210,0.220,0.205,s,29 Nov 2019,05:00PM,0.210,RIMBUNAN SAWIT BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5113
MAIN MARKET,PLANTATION,'2542,-,-,-,20,2.760,3.000,18,2.9,-,-,-,s,29 Nov 2019,05:00PM,-,RIVERVIEW RUBBER ESTATES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=2542
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9741,-0.020,-3.17,"54,662",364,0.610,0.615,"3,410",0.63,0.630,0.635,0.600,s,29 Nov 2019,05:00PM,0.610,ROHAS TECNIC BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9741
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7803,-,-,-,40,0.520,0.550,120,0.54,-,-,-,s,29 Nov 2019,05:00PM,-,RUBBEREX CORPORATION (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7803
MAIN MARKET,UTILITIES,'8567,-,-,"34,018","1,630",0.215,0.220,"3,954",0.22,0.215,0.220,0.205,s,29 Nov 2019,05:00PM,0.220,SALCON BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8567
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'0183,-,-,"9,619",359,0.670,0.680,"1,130",0.675,0.670,0.675,0.660,s,29 Nov 2019,05:00PM,0.675,SALUTICA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=0183
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'9822,-0.010,-0.13,135,1,7.980,8.000,1,8.0,8.080,8.080,7.990,s,29 Nov 2019,05:00PM,7.990,SAM ENGINEERING & EQUIPMENT (M) BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9822
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'5147,-0.035,-5.11,"11,746",437,0.650,0.660,"1,085",0.685,0.670,0.675,0.650,s,29 Nov 2019,05:00PM,0.650,SAMCHEM HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5147
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7943,-,-,-,40,0.340,0.345,751,0.345,-,-,-,s,29 Nov 2019,05:00PM,-,SAND NISKO CAPITAL BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7943
MAIN MARKET,ENERGY,'5218,-,-,"595,149","397,014",0.270,0.275,"171,803",0.275,0.280,0.280,0.270,s,29 Nov 2019,05:00PM,0.275,SAPURA ENERGY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5218
