Date,Code,Name (Short),Name (Full),Perfect Pillar,Open,High,Low,Close,Volume,Tick Size,Change value,Change value (%),Change status,Average Volume,52w,DPS,DY,EPS,Market Cap,P/E,PSR,PTBV,Price Bid/Ask,ROE,RPS,RSI(14),Relative Volume,Stochastic(14),Volume (B/S),URL
2019-08-30,'5088,APEX ,APEX EQUITY HOLDINGS BERHAD,,0.845,0.845,0.845,0.845,-,0,0.000 ,0.00%,,"6,800",0.845 - 1.240,1.90,2.25%,4.75,180.5M,18,5,0.60,0.800 / 0.880,3.36,17.46,,0.0,,"5,100 / 1,000",https://www.klsescreener.com/v2/stocks/view/5088/apex-equity-holdings-berhad
2019-08-30,'5134,SAB ,SOUTHERN ACIDS (M) BERHAD,,3.6100000000000003,3.650,3.640,3.640,"7,000",3,+0.030 ,+0.83%,increasing,"1,500",3.580 - 4.000,5.00,1.37%,14.03,498.4M,26,1,0.81,3.620 / 3.900,3.13,425.94,,4.6,,"3,000 / 5,000",https://www.klsescreener.com/v2/stocks/view/5134/southern-acids-m-berhad
2019-08-30,'4219,BJLAND ,BERJAYA LAND BERHAD,,0.205,0.210,0.200,0.205,"6,504,800",0,0.000 ,0.00%,,"11,257,200",0.150 - 0.305,0.00,0.00%,2.63,"1,025.1M",8,0,0.24,0.205 / 0.210,3.13,113.97,,0.6,,"241,200 / 2,361,400",https://www.klsescreener.com/v2/stocks/view/4219/berjaya-land-berhad
2019-08-30,'2194,MMCCORP ,MMC CORPORATION BERHAD,,1.04,1.090,1.050,1.080,"3,243,900",4,+0.040 ,+3.85%,increasing,"2,338,900",0.810 - 1.480,4.00,3.70%,9.18,"3,288.7M",12,1,0.36,1.070 / 1.080,3.10,161.02,,1.4,,"202,800 / 502,700",https://www.klsescreener.com/v2/stocks/view/2194/mmc-corporation-berhad
2019-08-30,'5095,HEVEA ,HEVEABOARD BERHAD,,0.52,0.525,0.520,0.520,"292,300",0,0.000 ,0.00%,,"598,500",0.510 - 0.925,3.60,6.92%,2.38,292.3M,22,1,0.68,0.520 / 0.525,3.09,76.09,,0.5,,"27,500 / 158,600",https://www.klsescreener.com/v2/stocks/view/5095/heveaboard-berhad
2019-08-30,'7016,CHUAN ,CHUAN HUAT RESOURCES BHD,,0.415,0.420,0.390,0.420,"46,800",1,+0.005 ,+1.20%,increasing,"25,600",0.230 - 0.485,1.10,2.62%,5.68,70.8M,7,0,0.23,0.390 / 0.415,3.09,438.46,,1.8,,"1,300 / 10,000",https://www.klsescreener.com/v2/stocks/view/7016/chuan-huat-resources-bhd
2019-08-30,'5225,IHH ,IHH HEALTHCARE BERHAD,,5.7700000000000005,5.840,5.760,5.790,"5,844,600",2,+0.020 ,+0.35%,increasing,"4,478,400",4.540 - 5.950,3.00,0.52%,7.75,"50,801.4M",75,4,2.29,5.750 / 5.790,3.06,151.52,,1.3,,"13,200 / 10,000",https://www.klsescreener.com/v2/stocks/view/5225/ihh-healthcare-berhad
2019-08-30,'5015,APM ,APM AUTOMOTIVE HOLDINGS BERHAD,,2.4,2.400,2.400,2.400,"26,300",0,0.000 ,0.00%,,"34,300",2.360 - 3.550,12.00,5.00%,19.36,483.8M,12,0,0.38,2.400 / 2.550,3.04,716.55,,0.8,,"1,000 / 100",https://www.klsescreener.com/v2/stocks/view/5015/apm-automotive-holdings-berhad
2019-08-30,'7232,RESINTC ,RESINTECH BERHAD,,0.32,0.320,0.320,0.320,-,0,0.000 ,0.00%,,"18,300",0.260 - 0.350,2.50,7.81%,3.06,43.9M,10,1,0.31,0.285 / 0.330,3.00,62.80,,0.0,,"3,000 / 20,000",https://www.klsescreener.com/v2/stocks/view/7232/resintech-berhad
2019-08-30,'7076,CBIP ,CB INDUSTRIAL PRODUCT HOLDING BERHAD,,0.84,0.840,0.840,0.840,-,0,0.000 ,0.00%,,"261,800",0.815 - 1.280,2.00,2.38%,4.33,452.1M,19,1,0.58,0.840 / 0.860,3.01,68.75,,0.0,,"13,000 / 5,000",https://www.klsescreener.com/v2/stocks/view/7076/cb-industrial-product-holding-berhad
