Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL,MarketStatus,TickSize,TickSizeRemark
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5107,-0.010,-1.23,280,20,0.790,0.810,125,0.81,0.800,0.800,0.800,s,12 Nov 2019,05:00PM,0.800,IQ GROUP HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5107,MarketGapDown,0.0,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7183,0.000,0.00,"4,273","3,934",0.070,0.075,"2,176",0.075,0.070,0.075,0.065,s,12 Nov 2019,05:00PM,0.075,IRE-TEX CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7183,MarketGapDown,0.0,OpenAndClosePriceMismatch
MAIN MARKET,CONSTRUCTION,'8834,0.015,+3.16,25,130,0.440,0.490,463,0.475,0.475,0.490,0.475,s,12 Nov 2019,05:00PM,0.490,IREKA CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8834,MarketNoChange,3.0000000000000027,
MAIN MARKET,PROPERTY,'1589,0.000,0.00,"45,208","3,909",0.860,0.865,"2,052",0.86,0.865,0.870,0.855,s,12 Nov 2019,05:00PM,0.860,ISKANDAR WATERFRONT CITY BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1589,MarketGapUp,0.0,OpenAndClosePriceMismatch
MAIN MARKET,PROPERTY,'5175,-0.005,-2.70,"3,056","1,144",0.180,0.185,696,0.185,0.185,0.185,0.180,s,12 Nov 2019,05:00PM,0.180,IVORY PROPERTIES GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5175,MarketNoChange,1.0000000000000009,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'7043,0.000,0.00,0,100,1.080,1.150,30,1.09,-,-,-,s,12 Nov 2019,05:00PM,-,JADE MARVEL GROUP BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7043,MarketClosed,0.0,
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'7223,0.000,0.00,"5,108","61,844",0.060,0.065,"56,455",0.06,0.065,0.065,0.060,s,12 Nov 2019,05:00PM,0.060,JADI IMAGING HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7223,MarketGapUp,0.0,OpenAndClosePriceMismatch
MAIN MARKET,CONSTRUCTION,'4723,0.010,+0.86,"97,198","3,577",1.160,1.170,"3,239",1.16,1.160,1.190,1.140,s,12 Nov 2019,05:00PM,1.170,JAKS RESOURCES BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4723,MarketNoChange,1.0000000000000009,
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'8648,0.000,0.00,0,"8,970",0.100,0.105,"3,153",0.1,-,-,-,s,12 Nov 2019,05:00PM,-,JASA KITA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=8648,MarketClosed,0.0,
MAIN MARKET,PLANTATION,'4383,0.030,+5.31,"38,895",6,0.590,0.595,307,0.565,0.575,0.595,0.575,s,12 Nov 2019,05:00PM,0.595,JAYA TIASA HOLDINGS BHD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4383,MarketGapUp,4.0000000000000036,
