,Date,Status,Day
887,19970811,Open,Monday
888,19970812,Open,Tuesday
889,19970813,Open,Wednesday
890,19970814,Open,Thursday
891,19970815,Open,Friday
892,19970818,Open,Monday
893,19970819,Open,Tuesday
894,19970820,Open,Wednesday
895,19970821,Open,Thursday
896,19970822,Open,Friday
897,19970825,Open,Monday
898,19970826,Open,Tuesday
899,19970827,Open,Wednesday
900,19970828,Open,Thursday
901,19970829,Open,Friday
902,19970902,Open,Tuesday
903,19970903,Open,Wednesday
904,19970904,Open,Thursday
905,19970905,Open,Friday
906,19970908,Open,Monday
907,19970909,Open,Tuesday
908,19970910,Open,Wednesday
909,19970911,Open,Thursday
910,19970912,Open,Friday
911,19970915,Open,Monday
912,19970916,Open,Tuesday
913,19970917,Open,Wednesday
914,19970918,Open,Thursday
915,19970919,Open,Friday
916,19970922,Open,Monday
917,19970923,Open,Tuesday
918,19970924,Open,Wednesday
919,19970925,Open,Thursday
920,19970926,Open,Friday
921,19970929,Open,Monday
922,19970930,Open,Tuesday
923,19971001,Open,Wednesday
924,19971002,Open,Thursday
925,19971003,Open,Friday
926,19971006,Open,Monday
927,19971007,Open,Tuesday
928,19971008,Open,Wednesday
929,19971009,Open,Thursday
930,19971010,Open,Friday
931,19971013,Open,Monday
932,19971014,Open,Tuesday
933,19971015,Open,Wednesday
934,19971016,Open,Thursday
935,19971017,Open,Friday
936,19971020,Open,Monday
937,19971021,Open,Tuesday
938,19971022,Open,Wednesday
939,19971023,Open,Thursday
940,19971024,Open,Friday
941,19971027,Open,Monday
942,19971028,Open,Tuesday
943,19971029,Open,Wednesday
944,19971031,Open,Friday
945,19971103,Open,Monday
946,19971104,Open,Tuesday
947,19971105,Open,Wednesday
948,19971106,Open,Thursday
949,19971107,Open,Friday
950,19971110,Open,Monday
951,19971111,Open,Tuesday
952,19971112,Open,Wednesday
953,19971113,Open,Thursday
954,19971114,Open,Friday
955,19971117,Open,Monday
956,19971118,Open,Tuesday
957,19971119,Open,Wednesday
958,19971120,Open,Thursday
959,19971121,Open,Friday
960,19971124,Open,Monday
961,19971125,Open,Tuesday
962,19971126,Open,Wednesday
963,19971127,Open,Thursday
964,19971128,Open,Friday
965,19971201,Open,Monday
966,19971202,Open,Tuesday
967,19971203,Open,Wednesday
968,19971204,Open,Thursday
969,19971205,Open,Friday
970,19971208,Open,Monday
971,19971209,Open,Tuesday
972,19971210,Open,Wednesday
973,19971211,Open,Thursday
974,19971212,Open,Friday
975,19971215,Open,Monday
976,19971216,Open,Tuesday
977,19971217,Open,Wednesday
978,19971218,Open,Thursday
979,19971219,Open,Friday
980,19971222,Open,Monday
981,19971223,Open,Tuesday
982,19971224,Open,Wednesday
983,19971226,Open,Friday
984,19971229,Open,Monday
985,19971230,Open,Tuesday
986,19971231,Open,Wednesday
987,19980102,Open,Friday
988,19980105,Open,Monday
989,19980106,Open,Tuesday
990,19980107,Open,Wednesday
991,19980108,Open,Thursday
992,19980109,Open,Friday
993,19980112,Open,Monday
994,19980113,Open,Tuesday
995,19980114,Open,Wednesday
