Market,Sector,Code,Change,ChangePercentage,Volume,BuyVolume,Buy,Sell,SellVolume,LACP,Open,High,Low,Remark,Date,Time,Close,Company,BursaURL
MAIN MARKET,ENERGY,'7251,-,-,"13,040","28,895",0.025,0.030,"74,852",0.025,0.025,0.030,0.025,s,07 Nov 2019,05:00PM,0.025,BARAKAH OFFSHORE PETROLEUM BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=7251
MAIN MARKET,PLANTATION,'1899,-0.020,-0.13,184,7,15.560,15.580,6,15.6,15.600,15.640,15.580,s,07 Nov 2019,05:00PM,15.580,BATU KAWAN BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1899
MAIN MARKET,PROPERTY,'6602,-,-,580,100,0.250,0.265,360,0.265,0.250,0.265,0.245,s,07 Nov 2019,05:00PM,0.265,BCB BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6602
MAIN MARKET,CONSTRUCTION,'5190,-,-,"2,401","11,863",0.140,0.145,"1,549",0.145,0.145,0.145,0.140,s,07 Nov 2019,05:00PM,0.145,BENALEC HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5190
MAIN MARKET,PROPERTY,'3239,-,-,"1,150",11,0.295,0.300,"3,063",0.3,0.295,0.300,0.295,s,07 Nov 2019,05:00PM,0.300,BERJAYA ASSETS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3239
MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,'3395,-,-,"44,603","96,876",0.240,0.245,"86,629",0.24,0.240,0.245,0.240,s,07 Nov 2019,05:00PM,0.240,BERJAYA CORPORATION BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=3395
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5196,0.020,+1.43,"1,694",100,1.400,1.420,848,1.4,1.390,1.420,1.390,s,07 Nov 2019,05:00PM,1.420,BERJAYA FOOD BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5196
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'4219,-,-,"2,496","54,365",0.195,0.200,"11,845",0.195,0.200,0.200,0.195,s,07 Nov 2019,05:00PM,0.195,BERJAYA LAND BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=4219
MAIN MARKET,TELECOMMUNICATIONS & MEDIA,'6025,-,-,-,-,-,-,-,0.105,-,-,-,Ss,07 Nov 2019,05:00PM,-,BERJAYA MEDIA BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6025
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'1562,-0.030,-1.16,"9,240",186,2.560,2.570,200,2.59,2.590,2.600,2.550,s,07 Nov 2019,05:00PM,2.560,BERJAYA SPORTS TOTO BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=1562
MAIN MARKET,CONSUMER PRODUCTS & SERVICES,'5248,-0.010,-0.45,"7,279","27,817",2.200,2.210,"5,651",2.21,2.210,2.220,2.200,s,07 Nov 2019,05:00PM,2.200,BERMAZ AUTO BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5248
MAIN MARKET,PROPERTY,'9814,-,-,-,100,0.160,0.280,"1,488",0.22,-,-,-,s,07 Nov 2019,05:00PM,-,BERTAM ALLIANCE BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=9814
MAIN MARKET,FINANCIAL SERVICES,'5258,-0.050,-1.16,"15,690","8,597",4.250,4.280,750,4.3,4.290,4.290,4.230,s,07 Nov 2019,05:00PM,4.250,BIMB HOLDINGS BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=5258
MAIN MARKET,PROPERTY,'6173,-0.015,-4.29,12,175,0.335,0.350,129,0.35,0.335,0.335,0.335,s,07 Nov 2019,05:00PM,0.335,BINA DARULAMAN BERHAD,http://www.bursamalaysia.com/market/listed-companies/list-of-companies/plc-profile.html?stock_code=6173
